STATENAME	SURVYEAR	FIPST	TOTD9	AMD9M	AMD9F	AMD9	ASD9M	ASD9F	ASD9	HID9M	HID9F	HID9	BLD9M	BLD9F	BLD9	WHD9M	WHD9F	WHD9	TOTD10	AMD10M	AMD10F	AMD10	ASD10M	ASD10F	ASD10	HID10M	HID10F	HID10	BLD10M	BLD10F	BLD10	WHD10M	WHD10F	WHD10	TOTD11	AMD11M	AMD11F	AMD11	ASD11M	ASD11F	ASD11	HID11M	HID11F	HID11	BLD11M	BLD11F	BLD11	WHD11M	WHD11F	WHD11	TOTD12	AMD12M	AMD12F	AMD12	ASD12M	ASD12F	ASD12	HID12M	HID12F	HID12	BLD12M	BLD12F	BLD12	WHD12M	WHD12F	WHD12	TOTD912	TOTDAMM	TOTDAMF	TOTDAM	TOTDASM	TOTDASF	TOTDAS	TOTDHIM	TOTDHIF	TOTDHI	TOTDBLM	TOTDBLF	TOTDBL	TOTDWHM	TOTDWHF	TOTDWH	TOTDM	TOTDF	EBS9	EBSAM9M	EBSAM9F	EBSAM9	EBSAS9M	EBSAS9F	EBSAS9	EBSHI9M	EBSHI9F	EBSHI9	EBSBL9M	EBSBL9F	EBSBL9	EBSWH9M	EBSWH9F	EBSWH9	EBS10	EBSAM10M	EBSAM10F	EBSAM10	EBSAS10M	EBSAS10F	EBSAS10	EBSHI10M	EBSHI10F	EBSHI10	EBSBL10M	EBSBL10F	EBSBL10	EBSWH10M	EBSWH10F	EBSWH10	EBS11	EBSAM11M	EBSAM11F	EBSAM11	EBSAS11M	EBSAS11F	EBSAS11	EBSHI11M	EBSHI11F	EBSHI11	EBSBL11M	EBSBL11F	EBSBL11	EBSWH11M	EBSWH11F	EBSWH11	EBS12	EBSAM12M	EBSAM12F	EBSAM12	EBSAS12M	EBSAS12F	EBSAS12	EBSHI12M	EBSHI12F	EBSHI12	EBSBL12M	EBSBL12F	EBSBL12	EBSWH12M	EBSWH12F	EBSWH12	EBS912	EBSAMM	EBSAMF	EBSAM	EBSASM	EBSASF	EBSAS	EBSHIM	EBSHIF	EBSHI	EBSBLM	EBSBLF	EBSBL	EBSWHM	EBSWHF	EBSWH	EBSM	EBSF	DRP9	DRP10	DRP11	DRP12	DRP912	DRPAMM	DRPAMF	DRPAM	DRPASM	DRPASF	DRPAS	DRPHIM	DRPHIF	DRPHI	DRPBLM	DRPBLF	DRPBL	DRPWHM	DRPWHF	DRPWH	DRPM	DRPF	TOTDPL	AMDPL	ASDPL	HIDPL	BLDPL	WHDPL	AFGEB	AFGEBAM	AFGEBAS	AFGEBHI	AFGEBBL	AFGEBWH	AFGR	AFGRAM	AFGRAS	AFGRHI	AFGRBL	AFGRWH	TOTOHC	AMOHC	ASOHC	HIOHC	BLOHC	WHOHC	TOTEQUIV	AMEQUIV	ASEQUIV	HIEQUIV	BLEQUIV	WHEQUIV
Oregon	2006-07	41	793	14	14	28	14	7	21	166	119	285	16	20	36	213	182	395	1,307	16	19	35	25	13	38	197	136	333	33	35	68	414	374	788	2,009	35	40	75	39	23	62	280	204	484	73	38	111	706	524	1,230	3,380	74	54	128	84	40	124	417	249	666	78	81	159	1,234	968	2,202	7,489	136	124	260	162	83	245	1,054	699	1,753	200	174	374	2,549	2,032	4,581	4,128	3,140	40,138	434	411	845	938	987	1,925	3,102	2,804	5,906	641	639	1,278	14,914	14,078	28,992	42,525	471	439	910	956	901	1,857	3,044	2,806	5,850	647	594	1,241	16,021	15,150	31,171	41,216	447	460	907	1,031	1,005	2,036	2,692	2,450	5,142	578	542	1,120	15,915	14,928	30,843	38,968	453	434	887	988	954	1,942	2,344	2,173	4,517	562	524	1,086	15,022	14,481	29,503	162,847	1,795	1,734	3,529	3,896	3,827	7,723	11,074	10,146	21,220	2,421	2,298	4,719	61,509	58,323	119,832	81,200	76,760	2.0	3.1	4.9	8.7	4.6	7.6	7.2	7.4	4.2	2.2	3.2	9.5	6.9	8.3	8.3	7.6	7.9	4.1	3.5	3.8	5.1	4.1	33,446	681	1,687	3,242	806	26,227	45,345	1,115	1,855	4,844	1,314	35,274	73.8	61.1	90.9	66.9	61.3	74.4	-1	-1	-1	-1	-1	-1	3,567	122	77	289	108	2,643
Pennsylvania	2006-07	42	-1	-1	-1	-1	-1	-1	-1	253	192	445	440	407	847	-1	-1	-1	-1	-1	-1	-1	44	-1	67	355	269	624	638	485	1,123	-1	-1	-1	4,006	3	3	6	55	24	79	273	222	495	613	415	1,028	-1	1,005	2,398	4,536	-1	-1	-1	46	31	77	258	181	439	517	452	969	1,702	1,339	3,041	-1	-1	-1	-1	-1	-1	-1	1,137	863	2,000	2,208	1,759	3,967	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4,912	4,450	9,362	11,922	11,196	23,118	-1	-1	-1	-1	-1	-1	-1	1,551	-1	2,953	4,655	4,276	8,931	10,600	10,682	21,282	-1	-1	-1	129,335	113	99	212	1,699	1,566	3,265	3,431	3,408	6,839	8,690	9,351	18,041	-1	49,698	100,956	126,223	-1	-1	-1	1,568	1,474	3,042	2,811	2,942	5,753	7,392	8,396	15,788	51,871	49,596	101,467	-1	-1	-1	-1	-1	-1	-1	15,756	15,032	30,788	38,506	39,513	78,019	-1	-1	-1	-1	-1	-1.0	-1.0	3.1	3.6	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.2	5.7	6.5	5.7	4.5	5.1	-1.0	-1.0	-1.0	-1.0	-1.0	128,603	132	3,173	5,566	15,515	104,217	154,938	206	3,216	8,136	24,004	119,376	83.0	64.1	98.7	68.4	64.6	87.3	-2	-2	-2	-2	-2	-2	4,056	15	48	306	872	2,593
Rhode Island	2006-07	44	783	5	4	9	17	12	29	200	125	325	57	53	110	172	138	310	821	3	0	3	18	15	33	181	95	276	74	37	111	228	170	398	715	6	3	9	14	14	28	116	89	205	41	36	77	217	179	396	516	3	4	7	4	9	13	78	50	128	35	23	58	186	124	310	2,835	17	11	28	53	50	103	575	359	934	207	149	356	803	611	1,414	1,655	1,180	13,768	43	43	86	243	211	454	1,359	1,212	2,571	657	609	1,266	4,818	4,573	9,391	12,777	41	40	81	173	188	361	1,116	1,071	2,187	592	558	1,150	4,576	4,422	8,998	11,697	40	34	74	152	208	360	894	982	1,876	504	524	1,028	4,270	4,089	8,359	10,575	22	30	52	177	150	327	694	812	1,506	381	481	862	3,924	3,904	7,828	48,817	146	147	293	745	757	1,502	4,063	4,077	8,140	2,134	2,172	4,306	17,588	16,988	34,576	24,676	24,141	5.7	6.4	6.1	4.9	5.8	11.6	7.5	9.6	7.1	6.6	6.9	14.2	8.8	11.5	9.7	6.9	8.3	4.6	3.6	4.1	6.7	4.9	10,384	43	322	1,485	871	7,663	13,252	76	413	2,090	1,158	9,513	78.4	56.6	78.0	71.1	75.2	80.6	3	-1	-1	-1	1	2	343	4	6	30	19	197
South Carolina	2006-07	45	2,708	7	4	11	7	4	11	88	29	117	848	480	1,328	741	500	1,241	2,309	8	3	11	8	9	17	47	42	89	625	443	1,068	647	477	1,124	1,817	4	6	10	10	7	17	35	24	59	470	290	760	486	485	971	1,268	3	0	3	6	7	13	19	15	34	300	199	499	408	311	719	8,102	22	13	35	31	27	58	189	110	299	2,243	1,412	3,655	2,282	1,773	4,055	4,767	3,335	66,021	118	103	221	413	341	754	1,284	1,180	2,464	14,686	13,397	28,083	17,983	16,516	34,499	54,534	78	71	149	366	344	710	933	879	1,812	10,907	11,265	22,172	15,173	14,518	29,691	43,115	46	66	112	354	334	688	643	599	1,242	7,839	8,664	16,503	12,350	12,220	24,570	41,451	40	57	97	283	293	576	455	520	975	7,261	8,686	15,947	11,720	12,136	23,856	205,121	282	297	579	1,416	1,312	2,728	3,315	3,178	6,493	40,693	42,012	82,705	57,226	55,390	112,616	102,932	102,189	4.1	4.2	4.2	3.1	3.9	7.8	4.4	6.0	2.2	2.1	2.1	5.7	3.5	4.6	5.5	3.4	4.4	4.0	3.2	3.6	4.6	3.3	35,108	44	462	631	12,643	21,062	59,592	154	627	1,431	24,780	31,839	58.9	28.6	73.7	44.1	51.0	66.2	-2	-2	-2	-2	-2	-2	2,199	14	25	45	431	1,492
South Dakota	2006-07	46	267	66	68	134	0	0	0	4	6	10	3	0	3	74	46	120	434	85	74	159	0	3	3	13	12	25	5	0	5	145	97	242	346	48	49	97	3	3	6	7	7	14	3	3	6	121	102	223	416	48	37	85	0	0	0	6	7	13	6	5	11	162	145	307	1,463	247	228	475	3	6	9	30	32	62	17	8	25	502	390	892	799	664	10,273	566	611	1,177	52	42	94	120	98	218	111	88	199	4,432	4,153	8,585	9,776	457	411	868	46	56	102	110	94	204	93	74	167	4,383	4,052	8,435	9,026	258	281	539	55	54	109	64	63	127	50	56	106	4,098	4,047	8,145	8,714	211	260	471	45	68	113	57	58	115	63	41	104	4,050	3,861	7,911	37,789	1,492	1,563	3,055	198	220	418	351	313	664	317	259	576	16,963	16,113	33,076	19,321	18,468	2.6	4.4	3.8	4.8	3.9	16.6	14.6	15.5	1.5	2.7	2.2	8.5	10.2	9.3	5.4	3.1	4.3	3.0	2.4	2.7	4.1	3.6	8,346	491	111	116	93	7,535	10,117	1,050	111	177	124	8,655	82.5	46.8	100.0	65.5	75.0	87.1	-2	-2	-2	-2	-2	-2	427	104	7	16	16	265
Tennessee	2006-07	47	1,808	4	0	4	9	5	14	86	47	133	734	462	1,196	285	176	461	1,796	6	0	6	13	7	20	69	52	121	565	355	920	458	271	729	2,565	3	0	3	16	10	26	59	47	106	592	404	996	859	575	1,434	2,947	3	4	7	24	11	35	57	47	104	516	429	945	1,083	773	1,856	9,116	16	4	20	62	33	95	271	193	464	2,407	1,650	4,057	2,685	1,795	4,480	5,441	3,675	83,631	66	91	157	608	504	1,112	1,606	1,345	2,951	11,529	10,985	22,514	29,740	27,124	56,864	76,904	62	67	129	554	451	1,005	1,248	1,133	2,381	9,563	9,506	19,069	28,050	26,238	54,288	69,402	72	60	132	509	491	1,000	967	942	1,909	7,936	8,405	16,341	25,509	24,475	49,984	60,780	57	57	114	489	484	973	612	687	1,299	6,400	7,438	13,838	22,429	22,096	44,525	290,717	257	275	532	2,160	1,930	4,090	4,433	4,107	8,540	35,428	36,334	71,762	105,728	99,933	205,661	148,006	142,579	2.2	2.3	3.7	4.8	3.1	6.2	1.5	3.8	2.9	1.7	2.3	6.1	4.7	5.4	6.8	4.5	5.7	2.5	1.8	2.2	3.7	2.6	54,502	94	934	1,146	12,188	40,140	75,051	137	993	1,612	18,921	53,387	72.6	68.6	94.1	71.1	64.4	75.2	2,580	10	13	45	1,170	1,342	3,689	24	23	54	355	3,078
Texas	2006-07	48	9,682	10	12	22	51	28	79	3,542	2,423	5,965	1,259	762	2,021	971	624	1,595	11,991	20	20	40	76	48	124	4,188	2,908	7,096	1,533	988	2,521	1,287	923	2,210	10,173	12	17	29	105	45	150	3,172	2,300	5,472	1,291	896	2,187	1,333	1,002	2,335	18,978	16	21	37	153	146	299	4,910	5,943	10,853	2,059	2,200	4,259	1,775	1,755	3,530	50,824	58	70	128	385	267	652	15,812	13,574	29,386	6,142	4,846	10,988	5,366	4,304	9,670	27,763	23,061	395,708	723	634	1,357	6,048	5,387	11,435	95,202	85,686	180,888	32,180	28,759	60,939	73,722	67,367	141,089	326,333	539	561	1,100	5,588	5,138	10,726	69,280	66,706	135,986	24,783	24,293	49,076	66,544	62,901	129,445	289,468	519	526	1,045	5,189	4,948	10,137	56,495	56,553	113,048	20,739	21,560	42,299	62,480	60,459	122,939	262,414	436	466	902	5,137	4,812	9,949	48,316	50,878	99,194	17,903	19,579	37,482	58,387	56,500	114,887	1273923	2,217	2,187	4,404	21,962	20,285	42,247	269,293	259,823	529,116	95,605	94,191	189,796	261,133	247,227	508,360	650,210	623,713	2.4	3.7	3.5	7.2	4.0	2.6	3.2	2.9	1.8	1.3	1.5	5.9	5.2	5.6	6.4	5.1	5.8	2.1	1.7	1.9	4.3	3.7	241,193	882	9,625	86,332	32,139	112,215	335,539	1,033	9,719	136,839	49,667	138,281	71.9	85.4	99.0	63.1	64.7	81.1	-2	-2	-2	-2	-2	-2	10,372	84	162	3,517	1,219	4,952
Utah	2006-07	49	153	8	6	14	3	3	6	23	27	50	3	3	6	49	28	77	339	7	8	15	8	4	12	57	54	111	3	3	6	105	90	195	736	14	12	26	9	8	17	101	98	199	10	5	15	258	221	479	3,537	56	48	104	54	49	103	353	317	670	31	24	55	1,521	1,084	2,605	4,765	85	74	159	74	64	138	534	496	1,030	47	35	82	1,933	1,423	3,356	2,673	2,092	39,094	395	339	734	628	617	1,245	2,549	2,332	4,881	263	224	487	16,307	15,440	31,747	38,808	299	365	664	643	598	1,241	2,425	2,166	4,591	265	246	511	16,351	15,450	31,801	37,809	315	345	660	630	611	1,241	2,192	1,962	4,154	253	215	468	16,160	15,126	31,286	36,525	310	293	603	589	562	1,151	1,841	1,737	3,578	228	176	404	15,781	15,008	30,789	152,236	1,319	1,342	2,661	2,490	2,388	4,878	9,007	8,197	17,204	1,009	861	1,870	64,599	61,024	125,623	78,424	73,812	0.4	0.9	1.9	9.7	3.1	6.4	5.5	6.0	3.0	2.7	2.8	5.9	6.1	6.0	4.7	4.1	4.4	3.0	2.3	2.7	3.4	2.8	28,276	390	876	2,100	231	24,679	36,913	670	1,064	3,666	373	31,118	76.6	58.2	82.3	57.3	61.9	79.3	2,149	49	42	276	42	1,740	2,070	53	54	240	70	1,652
Vermont	2006-07	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7,317	96	92	63	91	6,325	8,263	104	99	55	111	7,888	88.6	92.3	92.9	100.0	82.0	80.2	-1	-1	-1	-1	-1	-1	395	4	2	29	40	311
Virginia	2006-07	51	2,461	4	3	7	34	16	50	218	176	394	665	467	1,132	507	350	857	2,206	7	3	10	26	15	41	178	153	331	560	363	923	552	318	870	2,443	3	4	7	62	38	100	220	189	409	510	367	877	599	429	1,028	2,873	6	3	9	63	35	98	210	119	329	494	368	862	908	640	1,548	9,983	20	13	33	185	104	289	826	637	1,463	2,229	1,565	3,794	2,566	1,737	4,303	5,826	4,056	108,680	174	165	339	2,686	2,395	5,081	4,383	3,813	8,196	16,404	15,121	31,525	32,425	29,418	61,843	98,259	149	136	285	2,560	2,428	4,988	3,638	3,327	6,965	12,931	13,259	26,190	29,932	28,497	58,429	88,915	121	131	252	2,789	2,460	5,249	3,012	2,954	5,966	10,196	11,088	21,284	27,829	27,297	55,126	82,901	103	111	214	2,307	2,275	4,582	2,386	2,312	4,698	9,370	10,617	19,987	26,456	26,066	52,522	378,755	547	543	1,090	10,342	9,558	19,900	13,419	12,406	25,825	48,901	50,085	98,986	116,642	111,278	227,920	189,851	183,870	2.3	2.2	2.7	3.5	2.6	3.7	2.4	3.0	1.8	1.1	1.5	6.2	5.1	5.7	4.6	3.1	3.8	2.2	1.6	1.9	3.1	2.2	73,997	181	4,310	3,916	16,982	47,804	98,067	312	4,427	5,865	26,906	59,921	75.5	58.0	97.4	66.8	63.1	79.8	4,537	11	78	229	1,965	2,222	6,122	48	126	327	1,377	3,861
Washington	2006-07	53	3,303	97	115	212	141	104	245	494	326	820	216	151	367	886	706	1,592	3,555	102	105	207	102	82	184	389	322	711	190	121	311	1,214	857	2,071	4,586	112	120	232	118	78	196	394	320	714	170	139	309	1,773	1,287	3,060	5,501	122	123	245	184	155	339	365	288	653	229	181	410	2,179	1,580	3,759	16,945	433	463	896	545	419	964	1,642	1,256	2,898	805	592	1,397	6,052	4,430	10,482	9,477	7,160	90,048	1,389	1,282	2,671	3,807	3,371	7,178	6,155	5,771	11,926	2,935	2,657	5,592	32,143	29,292	61,435	84,140	1,120	1,149	2,269	3,491	3,363	6,854	5,180	4,725	9,905	2,389	2,337	4,726	30,526	28,919	59,445	79,927	992	1,035	2,027	3,246	3,210	6,456	4,145	4,080	8,225	2,020	1,795	3,815	29,990	28,608	58,598	76,978	945	985	1,930	3,443	3,267	6,710	3,675	3,636	7,311	1,973	1,798	3,771	28,630	27,968	56,598	331,093	4,446	4,451	8,897	13,987	13,211	27,198	19,155	18,212	37,367	9,317	8,587	17,904	121,289	114,787	236,076	168,194	159,248	3.7	4.2	5.7	7.1	5.1	9.7	10.4	10.1	3.9	3.2	3.5	8.6	6.9	7.8	8.6	6.9	7.8	5.0	3.9	4.4	5.6	4.5	62,801	1,273	5,696	5,625	2,749	46,996	83,971	2,373	6,463	8,781	4,519	61,764	74.8	53.6	88.1	64.1	60.8	76.1	96	3	10	10	4	67	4,168	185	167	387	251	3,031
West Virginia	2006-07	54	838	0	0	0	0	0	0	4	3	7	28	20	48	454	329	783	865	3	0	3	3	0	3	3	3	6	35	24	59	455	339	794	896	0	0	0	0	0	0	3	3	6	22	23	45	469	376	845	736	0	0	0	3	0	3	0	5	5	29	12	41	360	327	687	3,335	3	0	3	6	0	6	10	14	24	114	79	193	1,738	1,371	3,109	1,871	1,464	24,331	13	15	28	85	65	150	113	91	204	672	599	1,271	11,924	10,754	22,678	21,654	10	18	28	72	65	137	77	78	155	518	457	975	10,379	9,980	20,359	19,873	7	9	16	78	74	152	73	60	133	450	406	856	9,452	9,264	18,716	18,508	9	8	17	64	61	125	45	52	97	394	370	764	8,775	8,730	17,505	84,366	39	50	89	299	265	564	308	281	589	2,034	1,832	3,866	40,530	38,728	79,258	43,210	41,156	3.4	4.0	4.5	4.0	4.0	7.7	0.0	3.4	2.0	0.0	1.1	3.2	5.0	4.1	5.6	4.3	5.0	4.3	3.5	3.9	4.3	3.6	17,407	16	114	87	715	16,475	22,256	24	111	93	968	21,059	78.2	66.7	100.0	93.5	73.9	78.2	-2	-2	-1	-2	-2	-2	1,243	14	8	26	133	1,020
Wisconsin	2006-07	55	1,004	11	10	21	12	12	24	94	69	163	351	281	632	99	65	164	802	12	8	20	15	8	23	68	51	119	250	192	442	133	65	198	1,311	21	9	30	31	15	46	101	56	157	346	194	540	354	184	538	3,323	85	70	155	63	36	99	224	145	369	286	253	539	1,388	773	2,161	6,440	129	97	226	121	71	192	487	321	808	1,233	920	2,153	1,974	1,087	3,061	3,944	2,496	75,278	665	607	1,272	1,259	1,215	2,474	2,558	2,290	4,848	4,786	4,252	9,038	29,788	27,858	57,646	72,412	534	572	1,106	1,344	1,277	2,621	1,989	1,872	3,861	3,400	3,385	6,785	29,996	28,043	58,039	73,664	567	508	1,075	1,376	1,303	2,679	1,884	1,839	3,723	3,317	3,358	6,675	30,453	29,059	59,512	70,663	514	469	983	1,227	1,239	2,466	1,677	1,512	3,189	2,690	2,589	5,279	30,164	28,582	58,746	292,017	2,280	2,156	4,436	5,206	5,034	10,240	8,108	7,513	15,621	14,193	13,584	27,777	120,401	113,542	233,943	150,188	141,829	1.3	1.1	1.8	4.7	2.2	5.7	4.5	5.1	2.3	1.4	1.9	6.0	4.3	5.2	8.7	6.8	7.8	1.6	1.0	1.3	2.6	1.8	63,968	776	2,202	2,580	4,332	54,078	72,248	1,111	2,386	3,576	7,414	57,760	88.5	69.8	92.3	72.1	58.4	93.6	281	6	15	20	10	230	2,154	65	42	118	221	1,382
Wyoming	2006-07	56	126	17	15	32	0	0	0	12	13	25	0	3	3	40	26	66	421	30	16	46	0	3	3	35	21	56	5	0	5	189	122	311	393	10	9	19	0	0	0	26	21	47	3	3	6	202	119	321	438	5	8	13	3	0	3	31	15	46	6	8	14	213	149	362	1,378	62	48	110	3	3	6	104	70	174	14	14	28	644	416	1,060	827	551	7,184	164	183	347	28	40	68	353	330	683	48	58	106	3,141	2,839	5,980	7,427	148	110	258	46	39	85	356	275	631	63	41	104	3,324	3,025	6,349	6,420	72	79	151	38	28	66	239	233	472	35	38	73	2,941	2,717	5,658	6,167	67	71	138	33	37	70	220	180	400	41	32	73	2,860	2,626	5,486	27,198	451	443	894	145	144	289	1,168	1,018	2,186	187	169	356	12,266	11,207	23,473	14,217	12,981	1.8	5.7	6.1	7.1	5.1	13.7	10.8	12.3	2.1	2.1	2.1	8.9	6.9	8.0	7.5	8.3	7.9	5.3	3.7	4.5	5.8	4.2	5,441	119	59	328	53	4,882	7,181	266	65	516	102	6,232	75.8	44.7	90.8	63.6	52.0	78.3	64	4	2	5	3	50	558	27	4	48	14	461
DoD Overseas	2006-07	58	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	4,661	33	424	470	787	2,176	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-2	-2	-2	-2	-2	-2	-1	-1	-1	-1	-1	-1
Bureau of Indian Education	2006-07	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	3,715	3,715	0	0	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-2	-2	-2	-2	-2	-2	-1	-1	-1	-1	-1	-1
American Samoa	2006-07	60	-1	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	954	0	954	0	0	0	1,127	0	1,127	0	0	0	84.6	-2.0	84.6	-2.0	-2.0	-2.0	9	0	9	0	0	0	7	0	1	0	0	6
DoD Domestic	2006-07	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	1,118	22	66	289	226	373	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-2	-2	-2	-2	-2	-2	-1	-1	-1	-1	-1	-1
